url,price,area,rooms,location,private
https://www.otodom.pl/pl/oferta/mieszkanie-katowice-os-tysiaclecia-49-m2-garaz-ID4taKc,575000.0,48.54,THREE,Osiedle Tysiąclecia,True
https://www.otodom.pl/pl/oferta/piekne-mieszkanie-po-remoncie-os-paderewskiego-ID4sWGk,599000.0,56.0,THREE,Osiedle Paderewskiego-Muchowiec,True
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-balkon-bezposrednio-ID4t5wN,,29.93,ONE,Brynów-Osiedle Zgrzebnioka,False
https://www.otodom.pl/pl/oferta/3-duze-pokoje-bardzo-dobry-stan-balkon-ID4sMV3,530000.0,66.17,THREE,Centrum,False
https://www.otodom.pl/pl/oferta/nowe-mieszkanie-gotowe-do-wejscia-ID4sgEz,859000.0,68.17,FOUR,Załęska Hałda-Brynów,False
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-73m2-balkon-bez-prowizji-ID4sxYq,696499.0,73.07,FOUR,Koszutka,False
https://www.otodom.pl/pl/oferta/3-pok-mieszkanie-duzy-balkon-os-paderewskiego-ID4sqSe,899000.0,69.24,THREE,Osiedle Paderewskiego-Muchowiec,False
https://www.otodom.pl/pl/oferta/4-pokoje-katowice-ul-ondraszka-ID4sMMl,449000.0,71.45,FOUR,Załęże,False
https://www.otodom.pl/pl/oferta/widokowe-3-pokojowe-mieszkanie-44m2-z-balkonem-ID4sWmz,435000.0,44.0,THREE,Osiedle Tysiąclecia,True
https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-blisko-centrum-katowic-ID4taEV,370000.0,49.5,THREE,Zawodzie,True
https://www.otodom.pl/pl/oferta/przestronne-2-pok-po-remoncie-wyposazone-ID4swu8,447500.0,45.24,TWO,Szopienice-Burowiec,True
https://www.otodom.pl/pl/oferta/francuska-park-3-pokoje-wykonczone-z-garderoba-ID4sXwS,689000.0,58.0,THREE,Osiedle Paderewskiego-Muchowiec,False
https://www.otodom.pl/pl/oferta/nowy-wykonczony-apartament-na-xv-p-z-ev-ID4s1zZ,1499900.0,75.0,THREE,Śródmieście,True
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-101m2-2-loggie-ID4pFtS,1073832.0,101.12,FOUR,Osiedle Paderewskiego-Muchowiec,False
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-49m2-2-balkony-ID4pvyW,,49.76,THREE,Wełnowiec-Józefowiec,False
https://www.otodom.pl/pl/oferta/na-nikiszu-apartament-ID4sgnW,795000.0,67.5,THREE,Janów-Nikiszowiec,False
https://www.otodom.pl/pl/oferta/medykow-32-mieszkanie-2-pok-80-ID4nj2S,523353.0,40.57,TWO,Ligota-Panewniki,False
https://www.otodom.pl/pl/oferta/nowa-zielona-inwestycja-sprawdz-ID4sZhA,518764.0,48.94,THREE,Dąbrówka Mała,False
https://www.otodom.pl/pl/oferta/damrota-garden-apartament-2-pok-35-ID4osfy,678000.0,52.17,TWO,Osiedle Paderewskiego-Muchowiec,False
https://www.otodom.pl/pl/oferta/wyposazone-i-umeblowane-3-pokoje-na-3-stawach-ID4sWkG,1249000.0,81.0,THREE,Osiedle Paderewskiego-Muchowiec,False
https://www.otodom.pl/pl/oferta/4-pokoje-z-ogrodkiem-ID4pS7z,949000.0,88.55,FOUR,Osiedle Paderewskiego-Muchowiec,False
https://www.otodom.pl/pl/oferta/3-pokojowe-gotowe-m-z-tarasem-44m2-dni-otwarte-ID4tayp,808000.0,65.66,THREE,Ligota-Panewniki,False
https://www.otodom.pl/pl/oferta/3-pokojowe-gotowe-m-z-tarasem-tylko-u-nas-ID4tay9,780000.0,70.86,THREE,Ligota-Panewniki,False
https://www.otodom.pl/pl/oferta/3-pokojowe-gotowe-m-z-tarasem-kameralne-osiedle-ID4taxU,696000.0,63.29,THREE,Ligota-Panewniki,False
https://www.otodom.pl/pl/oferta/przedsprzedaz-centrum-premium-2pok-balkon-4q2026-ID4t4H4,491797.0,41.0,TWO,Śródmieście,False
https://www.otodom.pl/pl/oferta/widokowe-centrum-premium-5pok-taras-4q2026-ID4t4H9,969976.0,76.5,FIVE,Śródmieście,False
https://www.otodom.pl/pl/oferta/taras-centrum-premium-3pok-4q2026-ID4t4Hk,615047.0,51.2,THREE,Śródmieście,False
https://www.otodom.pl/pl/oferta/narozny-apart-centrum-premium-3pok-4q2026-ID4t4Hs,673873.0,48.0,THREE,Śródmieście,False
https://www.otodom.pl/pl/oferta/rozne-powierzchnie-2-pak-centrum-katowic-ID4sOyt,399000.0,55.0,THREE,Śródmieście,False
https://www.otodom.pl/pl/oferta/12-min-od-centrum-na-start-dla-studenta-ID4sVIG,239999.0,31.0,ONE,Śródmieście,False
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-50m2-bezposrednio-ID4t4nk,,50.68,THREE,Śródmieście,False
https://www.otodom.pl/pl/oferta/3-pokojowy-apartament-inwestycyjny-80m2-ID4pp9v,,80.2,THREE,Brynów-Osiedle Zgrzebnioka,False
https://www.otodom.pl/pl/oferta/nowe-4-pokoje-obnizka-ceny-ID4sC4c,869000.0,68.12,FOUR,Brynów-Osiedle Zgrzebnioka,False
https://www.otodom.pl/pl/oferta/5-pokojowe-mieszkanie-118m2-2-balkony-ID4o8WY,,118.6,FIVE,Osiedle Paderewskiego-Muchowiec,False
https://www.otodom.pl/pl/oferta/przestronne-i-stylowe-mieszkanie-z-antresola-ID4sjFu,289000.0,40.0,TWO,Szopienice-Burowiec,False
https://www.otodom.pl/pl/oferta/ul-zbozowa-2-pokoje-na-sprzedaz-ID4sUvo,280000.0,33.0,TWO,Piotrowice-Ochojec,True
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-39m2-balkon-ID4pp8S,,39.98,TWO,Brynów-Osiedle Zgrzebnioka,False
